Begin,END,xmin,ymin,xmax,ymax,Xdiff,Ydiff,EPslewrmax,Epslewfmax,Epslewrmin,Epslewfmin,Epcapfmax,Epcapfmin,Epcaprmax,Epcaprmin,Spslewfmax,Spslewfmin,Spslewrmin,Spslewrmax,arrival max,arrival min,skew,GBA,PBA
m_mFW_reg_16__143_/QN,m_mZ_reg_13__122_/D,75.672,1134.72,805.968,782.64,730.296,-352.08,32.9,35.9,13.3,12.8,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,31.219,28.1,1519.519,1466.019
m_mFW_reg_8__380_/QN,m_mZ_reg_17__60_/D,287.136,792.36,760.608,632.52,473.472,-159.84,43.6,40.2,11.9,11.6,0.429,0.381,0.429,0.383,23.5,21.5,22.8,25.2,60.519,39.019,21.5,1544.1,1458.319
m_mFW_reg_15__160_/QN,m_mZ_reg_15__122_/D,54.072,1132.56,737.928,656.28,683.856,-476.28,31.2,34.4,12.7,12.1,0.429,0.381,0.429,0.383,28,26.3,28.7,30.9,55.919,30.119,25.8,1515.5,1464.519
m_mFW_reg_16__165_/QN,m_mZ_reg_4__125_/D,47.808,1109.88,830.16,659.52,782.352,-450.36,29.3,31.5,9.9,10.4,0.429,0.381,0.429,0.383,71,69.1,84.4,86.9,58.219,44.519,13.7,1496.819,1465.519
m_mFW_reg_15__160_/QN,m_mZ_reg_9__122_/D,54.072,1132.56,805.968,741.6,751.896,-390.96,28.9,30.9,11.9,11.7,0.429,0.381,0.429,0.383,28,26.3,28.7,30.9,55.919,24.219,31.7,1518.818,1455.519
m_mFW_reg_9__132_/QN,m_mZ_reg_15__82_/D,388.008,1067.76,777.672,619.56,389.664,-448.2,35.8,37.3,11,10.9,0.429,0.381,0.429,0.383,33.2,31.1,34.9,37.5,50.719,37.919,12.8,1502.119,1455.919
m_mFW_reg_15__160_/QN,m_mZ_reg_12__126_/D,54.072,1132.56,843.768,801,789.696,-331.56,24.1,25.7,9.4,9.6,0.429,0.381,0.429,0.383,28,26.3,28.7,30.9,55.919,12.419,43.5,1518.419,1435.619
m_mFW_reg_7__350_/QN,m_mZ_reg_10__59_/D,317.376,737.28,814.824,720,497.448,-17.28,35.5,32.3,10.4,10.2,0.429,0.381,0.429,0.383,23.3,21.5,22.8,25,61.819,21.019,40.8,1504.119,1457.919
m_mFW_reg_8__380_/QN,m_mZ_reg_5__58_/D,287.136,792.36,815.904,705.96,528.768,-86.4,35.3,31.7,9.9,9.7,0.429,0.381,0.429,0.383,23.5,21.5,22.8,25.2,60.519,24.219,36.3,1522.919,1450.919
m_mFW_reg_15__160_/QN,m_mZ_reg_9__126_/D,54.072,1132.56,838.368,731.88,784.296,-400.68,26.7,28.2,9.8,10.2,0.429,0.381,0.429,0.383,28,26.3,28.7,30.9,55.919,16.719,39.2,1529.519,1438.619
m_mFW_reg_13__351_/QN,m_mZ_reg_4__104_/D,483.696,1132.56,838.368,664.92,354.672,-467.64,36.4,37.3,10,10.2,0.429,0.381,0.429,0.383,25.5,23.6,25.4,27.7,65.819,42.719,23.1,1518.619,1473.219
m_mFW_reg_17__331_/QN,m_mZ_reg_5__126_/D,317.376,1113.12,843.336,693,525.96,-420.12,30.9,32.9,10.9,11.3,0.429,0.381,0.429,0.383,26.6,24.5,26.5,29.1,36.119,18.819,17.3,1514.6,1459.119
m_mFW_reg_15__160_/QN,m_mZ_reg_9__125_/D,54.072,1132.56,829.728,735.12,775.656,-397.44,27.3,29.4,10.1,10.3,0.429,0.381,0.429,0.383,28,26.3,28.7,30.9,55.919,17.519,38.4,1510.6,1443.219
